Policy_ID,Date,Product_Type,Region,Policy_Status,Customer_Segment,Distribution_Channel,Policy_Tenure_Months,Renewal_Count,Written_Premium,Sum_Insured,Claim_Count,Claim_Amount,Total_Expense,Fraud_Flag,Insurance_Risk,Market_Risk,Credit_Risk,Operational_Risk,Catastrophe_Risk,Anomaly_Flag,Season_Flag,Capital_Reserve
POL10072,01/01/2022,Motor,West,Renewed,Individual,Online,2,0,11942.28,102302.77,1,10524.73,1778.21,0,9,3,3,4,2,0,Winter,500000000
POL10073,01/01/2022,Motor,West,Active,Individual,Online,31,2,13813.6,159446.97,0,0,2587.29,0,4,4,2,1,3,0,Winter,500000000
POL10093,01/01/2022,Motor,East,Active,Corporate,Agent,12,1,39988.79,549551.65,0,0,10964.93,0,8,3,4,5,1,0,Winter,500000000
POL10092,01/01/2022,Property,West,Active,Individual,Agent,10,0,35827.09,914623.83,0,0,9519.26,0,6,5,5,7,3,0,Winter,500000000
POL10091,01/01/2022,Travel,West,Active,SME,Direct,1,0,4949.99,310733.98,2,3036.32,1261.75,0,8,2,1,1,1,0,Winter,500000000
POL10090,01/01/2022,Marine,North,Active,Individual,Bancassurance,11,0,45067.82,1458077.66,2,36410.29,13605.97,0,5,6,5,3,6,0,Winter,500000000
POL10089,01/01/2022,Health,South,Renewed,SME,Bancassurance,12,1,21697.5,290369.64,3,20070.19,5105.42,0,7,5,8,6,1,0,Winter,500000000
POL10088,01/01/2022,Health,South,Active,SME,Bancassurance,26,0,23521.39,249950.8,1,20668.25,4405.56,0,9,5,3,4,2,0,Winter,500000000
POL10087,01/01/2022,Motor,Central,Active,SME,Agent,8,0,22591.91,292387.51,1,17682.69,6592.32,0,4,3,5,2,1,0,Winter,500000000
POL10086,01/01/2022,Property,North,Active,SME,Online,48,2,36184.94,1020346.48,1,25998.88,8557.74,0,8,4,1,3,3,0,Winter,500000000
POL10085,01/01/2022,Property,South,Active,SME,Agent,6,0,48406.98,1918822.86,0,0,14638.27,0,8,3,2,1,9,0,Winter,500000000
POL10049,01/01/2022,Motor,Central,Renewed,Individual,Direct,2,0,15288.22,176613.71,0,0,3432.21,0,3,3,3,6,1,0,Winter,500000000
POL10084,01/01/2022,Property,East,Cancelled,Individual,Bancassurance,23,1,38355.53,769579.36,1,24447.81,9335.74,0,10,4,3,6,10,0,Winter,500000000
POL10082,01/01/2022,Motor,East,Active,Individual,Bancassurance,25,2,17086.01,188571.52,0,0,5122.39,0,6,4,4,2,1,0,Winter,500000000
POL10081,01/01/2022,Health,South,Renewed,SME,Direct,45,1,33702.76,582549.06,2,28896.75,7070.84,0,7,4,4,6,2,0,Winter,500000000
POL10080,01/01/2022,Fire,Central,Active,Individual,Agent,11,0,31069.25,1282532.01,1,21071.17,8845.42,0,3,4,5,4,6,0,Winter,500000000
POL10079,01/01/2022,Fire,Central,Active,SME,Agent,1,0,60305.86,2500171.75,0,0,18598.33,0,3,5,6,4,6,0,Winter,500000000
POL10078,01/01/2022,Property,West,Active,Corporate,Agent,72,1,76413.27,1689294.96,0,0,17345.81,0,5,5,3,2,9,0,Winter,500000000
POL10077,01/01/2022,Fire,South,Renewed,Corporate,Online,27,1,54188.68,2992632.03,0,0,9607.65,0,7,7,6,6,8,0,Winter,500000000
POL10076,01/01/2022,Property,Central,Active,Individual,Online,29,2,15925.43,587443.59,0,0,2296.45,0,5,7,1,1,6,0,Winter,500000000
POL10075,01/01/2022,Travel,West,Renewed,SME,Direct,9,0,4474.7,310338.07,1,2529.55,863.62,0,2,4,3,1,4,0,Winter,500000000
POL10074,01/01/2022,Property,Central,Renewed,Individual,Agent,72,0,24527.92,550104.8,0,0,7581.58,0,4,5,2,1,9,0,Winter,500000000
POL10083,01/01/2022,Health,South,Active,Individual,Direct,17,0,24001.92,373044.2,0,0,4236.34,0,8,4,5,2,1,0,Winter,500000000
POL10048,01/01/2022,Health,Central,Renewed,Corporate,Agent,38,3,51949.75,900761.87,2,44775.49,15169.33,0,6,2,3,2,2,0,Winter,500000000
POL10070,01/01/2022,Health,Central,Lapsed,Individual,Bancassurance,1,0,23561.68,454075.47,0,0,5353.21,0,6,6,4,9,1,0,Winter,500000000
POL10046,01/01/2022,Health,South,Active,Individual,Online,31,2,29457.1,449230.05,1,26579.14,5452.51,0,7,4,6,7,2,0,Winter,500000000
POL10021,01/01/2022,Motor,Central,Cancelled,Individual,Direct,52,1,10711.73,157230.6,1,8239.46,2482.98,0,9,1,2,4,4,0,Winter,500000000
POL10020,01/01/2022,Health,Central,Active,Individual,Online,9,0,19593.77,228234.95,2,19070.62,3164.39,0,10,5,6,4,1,0,Winter,500000000
POL10019,01/01/2022,Health,North,Active,Individual,Online,1,0,12927.09,153589.49,1,12288.49,2032.14,0,7,5,8,6,1,0,Winter,500000000
POL10018,01/01/2022,Motor,West,Active,Individual,Bancassurance,24,2,16125.64,154244.5,1,11866.86,4226.53,0,8,4,3,9,2,0,Winter,500000000
POL10017,01/01/2022,Motor,Central,Active,Individual,Online,38,1,8630.68,111830.04,1,7580.33,1289.42,0,8,2,1,3,1,0,Winter,500000000
POL10016,01/01/2022,Property,Central,Active,Individual,Direct,25,2,23693.26,734267.81,2,16447.86,5174.61,0,8,4,3,4,9,0,Winter,500000000
POL10015,01/01/2022,Property,Central,Active,SME,Direct,4,0,18014.34,467520.82,0,0,3381.29,0,7,5,4,1,1,0,Winter,500000000
POL10014,01/01/2022,Marine,South,Active,SME,Agent,30,1,84660.97,3921848.35,2,63301.01,26803.66,0,4,3,3,3,7,0,Winter,500000000
POL10013,01/01/2022,Motor,South,Renewed,Individual,Bancassurance,20,1,10814.04,147919.08,3,8655.56,2594.29,0,4,2,1,4,2,0,Winter,500000000
POL10022,01/01/2022,Marine,East,Active,SME,Online,1,0,79143.63,3494297.32,4,58265.54,12180.2,0,5,8,8,6,5,0,Winter,500000000
POL10012,01/01/2022,Marine,Central,Active,Individual,Agent,7,0,47388.69,1086860.78,1,37697.7,13856.45,0,3,10,2,3,5,0,Winter,500000000
POL10010,01/01/2022,Motor,Central,Active,Individual,Agent,1,0,9193.48,116795.65,1,8936.06,2644.04,0,7,1,4,3,3,0,Winter,500000000
POL10009,01/01/2022,Property,East,Active,Individual,Bancassurance,72,0,34513.73,1201608.36,2,24836.08,9912.34,0,4,6,4,3,9,0,Winter,500000000
POL10008,01/01/2022,Motor,North,Active,Corporate,Bancassurance,5,0,45157.57,671146.3,0,0,10453.98,0,5,3,1,1,1,0,Winter,500000000
POL10007,01/01/2022,Motor,West,Active,SME,Direct,6,0,21926.79,325662.17,2,14410.29,5240.5,0,3,5,4,4,1,0,Winter,500000000
POL10006,01/01/2022,Health,East,Lapsed,Corporate,Online,27,1,44495.09,447203.06,0,0,10500.84,0,8,2,5,2,2,0,Winter,500000000
POL10005,01/01/2022,Motor,North,Active,Individual,Direct,20,1,19766.74,189757.74,0,0,3961.25,0,7,3,4,4,2,0,Winter,500000000
POL10004,01/01/2022,Health,North,Lapsed,Individual,Bancassurance,18,1,16937.45,200965.98,0,0,5270.93,0,9,4,3,5,1,0,Winter,500000000
POL10003,01/01/2022,Property,North,Active,Individual,Direct,22,0,27603.43,570314.87,1,20592.16,5799.48,0,9,9,1,1,7,0,Winter,500000000
POL10047,01/01/2022,Motor,West,Active,Individual,Online,5,0,14880.47,187295.92,1,12233.23,1897.26,0,3,5,1,2,2,0,Winter,500000000
POL10011,01/01/2022,Property,West,Renewed,Individual,Bancassurance,21,0,19943.25,695637.57,0,0,6250.21,0,4,2,2,3,8,0,Winter,500000000
POL10023,01/01/2022,Motor,South,Renewed,Corporate,Agent,47,1,33402.43,382401.93,1,26023.83,9897.14,0,6,1,4,5,2,0,Winter,500000000
POL10002,01/01/2022,Travel,West,Active,Corporate,Agent,2,0,6961.03,405360.22,1,3343.38,1859.29,0,6,2,1,4,1,0,Winter,500000000
POL10045,01/01/2022,Travel,Central,Active,Individual,Online,10,0,4335.93,407386.27,1,2157.99,634.35,0,5,3,2,4,8,0,Winter,500000000
POL10044,01/01/2022,Motor,East,Renewed,Individual,Online,28,2,21080.61,297568.41,2,15584.89,4793.73,0,5,2,2,1,1,0,Winter,500000000
POL10043,01/01/2022,Health,South,Active,SME,Direct,8,0,14427.74,226865.79,2,11028.56,2949.03,0,10,6,4,2,1,0,Winter,500000000
POL10042,01/01/2022,Motor,North,Active,Corporate,Bancassurance,3,0,36450.66,355309.23,1,30374.33,10373.86,0,6,4,3,6,2,0,Winter,500000000
POL10041,01/01/2022,Travel,Central,Active,Individual,Bancassurance,3,0,4024.68,270535.72,1,3134.82,1138.98,0,7,1,2,2,2,0,Winter,500000000
POL10040,01/01/2022,Property,South,Renewed,Individual,Agent,13,0,31188.78,675423.39,1,20263.35,7931.31,0,3,8,1,4,3,0,Winter,500000000
POL10024,01/01/2022,Motor,Central,Cancelled,SME,Agent,31,1,19819.23,232696.88,1,14626.59,5723.79,0,4,2,2,8,2,0,Winter,500000000
POL10038,01/01/2022,Motor,East,Active,Individual,Bancassurance,9,0,16993.21,231090.44,1,13411.04,4574.57,0,3,1,4,4,2,0,Winter,500000000
POL10037,01/01/2022,Motor,South,Renewed,Corporate,Bancassurance,29,2,19326.43,166371.09,3,13354.56,5216.2,0,8,4,4,1,3,0,Winter,500000000
POL10036,01/01/2022,Motor,West,Active,SME,Online,8,0,18039.53,164034.68,2,14173.66,2866.48,0,5,3,3,5,1,0,Winter,500000000
POL10035,01/01/2022,Health,North,Cancelled,Individual,Bancassurance,1,0,15728.97,298544.39,0,0,5302.24,0,5,7,1,1,1,0,Winter,500000000
POL10039,01/01/2022,Property,South,Renewed,SME,Direct,31,2,37917.64,1135606.7,1,24035.99,7101.97,0,4,7,1,4,4,0,Winter,500000000
POL10033,01/01/2022,Marine,East,Renewed,Individual,Direct,46,1,70702.27,2313655.44,3,52185.35,19527.97,1,6,6,5,6,4,1,Winter,500000000
POL10032,01/01/2022,Motor,West,Active,SME,Bancassurance,13,1,25336.85,329714.85,3,24371.52,6278.47,0,3,5,1,3,2,0,Winter,500000000
POL10031,01/01/2022,Health,Central,Renewed,SME,Agent,50,1,28580.88,463031.05,3,23796.44,7639.67,0,5,7,5,3,2,0,Winter,500000000
POL10030,01/01/2022,Property,West,Active,Individual,Direct,19,1,26335.55,956822.91,1,20812.99,3789.69,0,4,5,6,4,7,0,Winter,500000000
POL10029,01/01/2022,Fire,South,Cancelled,Individual,Direct,5,0,23200.77,1342996.86,2,13157.16,4758.48,0,5,5,7,5,6,0,Winter,500000000
POL10028,01/01/2022,Health,North,Active,SME,Direct,22,1,21276.48,369412.28,3,19733.94,4742.53,0,7,6,1,3,1,0,Winter,500000000
POL10027,01/01/2022,Marine,North,Active,Individual,Agent,41,1,27129.6,1302512.57,0,0,7636.98,0,2,9,5,4,7,0,Winter,500000000
POL10026,01/01/2022,Health,South,Active,Individual,Agent,24,0,23972.53,261109.83,1,21577.67,6940.05,0,3,7,1,9,1,0,Winter,500000000
POL10025,01/01/2022,Property,East,Renewed,Individual,Agent,29,1,24628.76,731239.21,1,14641.8,8602.83,0,5,6,4,9,9,0,Winter,500000000
POL10034,01/01/2022,Health,North,Active,Individual,Online,46,2,17146.25,327964.8,0,0,2472.49,0,8,3,6,3,1,0,Winter,500000000
POL10153,01/02/2022,Travel,North,Active,Corporate,Agent,14,1,8450.33,820689.06,0,0,2847.76,0,1,2,2,1,4,0,Winter,500000000
POL10154,01/02/2022,Travel,South,Active,Individual,Direct,1,0,4138.14,277802.68,1,2490.75,823.9,0,2,4,1,2,4,0,Winter,500000000
POL10155,01/02/2022,Property,East,Active,Individual,Online,10,0,21012.55,566104.31,2,14070,3891.52,0,3,5,2,7,6,0,Winter,500000000
POL10160,01/02/2022,Motor,North,Renewed,Individual,Agent,10,0,12285.73,150601.38,0,0,3532.15,0,4,2,6,3,2,0,Winter,500000000
POL10157,01/02/2022,Fire,Central,Active,Individual,Agent,27,2,48512.84,2289645.75,0,0,14752.75,0,2,9,5,6,9,0,Winter,500000000
POL10158,01/02/2022,Property,North,Active,SME,Agent,11,0,46504.92,967357.32,0,0,13035.33,0,4,5,5,6,7,0,Winter,500000000
POL10159,01/02/2022,Health,South,Lapsed,Individual,Direct,49,2,23806.6,248886.69,1,22080.62,4492.31,0,10,3,5,1,2,0,Winter,500000000
POL10156,01/02/2022,Motor,East,Active,Individual,Direct,2,0,14179.34,186510.48,2,12945.74,2462.95,0,8,3,3,1,2,0,Winter,500000000
POL10152,01/02/2022,Fire,West,Active,Individual,Agent,16,1,43407.08,1675321.71,2,25071.93,13352.02,0,7,4,5,4,6,0,Winter,500000000
POL10141,01/02/2022,Travel,North,Active,SME,Direct,3,0,6776.87,519279.04,0,0,1166.98,0,5,1,2,1,4,0,Winter,500000000
POL10150,01/02/2022,Property,West,Active,Individual,Online,71,3,27684.53,927313.43,1,17336.05,6613.83,0,5,7,6,2,6,0,Winter,500000000
POL10149,01/02/2022,Motor,West,Active,Individual,Agent,26,2,15242.01,182047.02,3,13263.6,5381.95,0,5,1,2,5,2,0,Winter,500000000
POL10148,01/02/2022,Motor,East,Active,SME,Bancassurance,19,0,22883.62,296294.02,6,19338.95,7631.69,1,4,1,1,3,3,1,Winter,500000000
POL10147,01/02/2022,Motor,South,Active,SME,Direct,1,0,16890.14,160804.54,1,14069.49,3852.64,0,6,4,5,5,2,0,Winter,500000000
POL10146,01/02/2022,Motor,Central,Active,Individual,Online,12,0,14733.53,157348.08,3,11033.94,2168.78,0,8,3,4,2,1,0,Winter,500000000
POL10145,01/02/2022,Health,East,Active,SME,Direct,3,0,28430.01,542509.55,4,26203.94,4804.67,0,8,8,4,2,1,0,Winter,500000000
POL10144,01/02/2022,Property,East,Lapsed,Individual,Agent,1,0,30044.75,825173.74,1,22308.23,7517.2,0,9,7,9,6,5,0,Winter,500000000
POL10143,01/02/2022,Property,North,Renewed,Individual,Agent,8,0,33337.09,1312191.74,0,0,9394.39,0,5,7,2,1,8,0,Winter,500000000
POL10142,01/02/2022,Motor,North,Active,SME,Online,26,2,18529.42,240928.58,4,14912.48,3187.06,0,7,2,2,6,5,0,Winter,500000000
POL10161,01/02/2022,Health,South,Active,Individual,Online,8,0,25496.22,314731.87,1,22752.83,4660.71,0,8,4,4,7,2,0,Winter,500000000
POL10151,01/02/2022,Marine,West,Active,Individual,Agent,15,1,48189.45,1621390.59,2,24234.47,16167.56,0,6,6,5,3,5,0,Winter,500000000
POL10162,01/02/2022,Health,South,Active,Individual,Bancassurance,7,0,21036.47,283337.26,2,22199.79,5198.11,0,5,4,4,1,1,0,Winter,500000000
POL10174,01/02/2022,Motor,Central,Lapsed,Corporate,Direct,6,0,37417.11,300975.84,0,0,10211.13,0,9,2,4,1,2,0,Winter,500000000
POL10164,01/02/2022,Health,South,Renewed,Corporate,Agent,21,1,37058.64,529922.85,1,28716.74,11373.3,0,10,4,1,6,1,0,Winter,500000000
POL10185,01/02/2022,Motor,East,Lapsed,SME,Agent,15,1,20175.35,256547.98,1,15466.42,6926.2,0,6,2,2,6,5,0,Winter,500000000
POL10184,01/02/2022,Fire,Central,Active,Individual,Agent,6,0,50025.12,2811839.75,2,21815.95,13196.63,0,3,7,2,3,8,0,Winter,500000000
POL10183,01/02/2022,Motor,North,Active,Individual,Agent,40,1,16013.21,129633.95,0,0,4249.91,0,6,3,5,3,3,0,Winter,500000000
POL10182,01/02/2022,Travel,West,Renewed,Individual,Agent,5,0,5693.78,453640.93,0,0,1553.83,0,6,4,4,1,2,0,Winter,500000000
POL10181,01/02/2022,Motor,East,Active,SME,Agent,29,1,19418.34,229658.27,1,14839.5,6044.93,0,7,3,3,1,3,0,Winter,500000000
POL10180,01/02/2022,Property,South,Active,SME,Agent,2,0,25535.35,575253.43,0,0,8577.32,0,6,5,5,4,9,0,Winter,500000000
POL10179,01/02/2022,Marine,South,Active,Individual,Bancassurance,3,0,48643.03,1108970.77,1,29249.05,11178.17,0,4,7,4,4,6,0,Winter,500000000
POL10178,01/02/2022,Motor,West,Active,Corporate,Agent,72,5,46414.67,504914.25,1,31859.03,15516.42,1,6,5,4,7,2,1,Winter,500000000
POL10177,01/02/2022,Travel,Central,Active,Individual,Agent,2,0,5371.66,480903.37,0,0,1457.87,0,4,3,2,1,3,0,Winter,500000000
POL10163,01/02/2022,Fire,West,Active,Individual,Bancassurance,44,0,40343.56,1540769.72,0,0,9702.63,0,4,6,4,7,4,0,Winter,500000000
POL10176,01/02/2022,Travel,West,Active,Individual,Direct,25,0,4058.99,276229.44,0,0,764.31,0,4,3,2,1,4,0,Winter,500000000
POL10173,01/02/2022,Fire,North,Active,Individual,Bancassurance,25,1,31076.91,947776.59,2,19572.24,7731.94,0,4,3,4,5,5,0,Winter,500000000
POL10172,01/02/2022,Motor,East,Cancelled,Corporate,Agent,23,1,30022.13,404790.96,0,0,10492.73,0,8,2,4,1,3,0,Winter,500000000
POL10171,01/02/2022,Fire,South,Active,Individual,Direct,9,0,40259.35,1812247.24,1,25222.48,5970.46,0,6,4,4,5,8,0,Winter,500000000
POL10170,01/02/2022,Property,West,Active,Individual,Online,3,0,39534.53,866382.66,0,0,8175.74,0,4,5,2,1,5,0,Winter,500000000
POL10169,01/02/2022,Motor,Central,Active,Individual,Bancassurance,26,0,17235.41,165810.86,2,15737.65,4152.01,0,2,6,2,9,4,0,Winter,500000000
POL10168,01/02/2022,Health,East,Active,Individual,Direct,31,1,20786.04,232521.74,3,17734.65,2606.57,0,6,5,2,4,1,0,Winter,500000000
POL10167,01/02/2022,Motor,West,Active,Individual,Online,15,0,16038.36,211967.08,0,0,2954.27,0,6,1,3,3,3,0,Winter,500000000
POL10166,01/02/2022,Marine,Central,Active,Corporate,Agent,1,0,120645.69,2786668.15,0,0,29883.94,0,6,7,6,3,5,0,Winter,500000000
POL10165,01/02/2022,Health,Central,Active,Individual,Agent,1,0,19244.02,212810.62,3,16490.2,6156.16,0,7,4,3,4,1,0,Winter,500000000
POL10175,01/02/2022,Fire,Central,Renewed,SME,Agent,4,0,30062.04,1687101.34,0,0,9628.87,0,3,4,3,1,5,0,Winter,500000000
POL10140,01/02/2022,Motor,Central,Active,Individual,Direct,23,1,11853.88,103572.31,0,0,3233.74,0,7,1,2,6,4,0,Winter,500000000
POL10114,01/02/2022,Health,West,Lapsed,Individual,Bancassurance,9,0,17685.13,241894.73,0,0,4619.36,0,5,5,3,4,1,0,Winter,500000000
POL10138,01/02/2022,Motor,West,Active,Corporate,Direct,20,0,24050.96,234489.61,1,16631.24,3836.13,0,3,4,4,5,2,0,Winter,500000000
POL10112,01/02/2022,Health,South,Active,Individual,Online,33,1,21370.4,252770.64,0,0,4092.43,0,5,8,3,1,1,0,Winter,500000000
POL10111,01/02/2022,Travel,North,Active,SME,Agent,5,0,4449.4,409948.12,0,0,1369.97,0,4,5,2,4,3,0,Winter,500000000
POL10110,01/02/2022,Health,West,Active,Individual,Bancassurance,4,0,14839.27,284437.89,2,13282.63,3429.36,0,9,2,4,5,1,0,Winter,500000000
POL10109,01/02/2022,Motor,West,Renewed,Individual,Agent,2,0,17601.39,208450.85,0,0,6061.92,0,5,4,1,4,3,0,Winter,500000000
POL10108,01/02/2022,Property,North,Lapsed,Individual,Direct,1,0,34871.85,1184078.04,0,0,6224.63,0,6,4,4,1,7,0,Winter,500000000
POL10107,01/02/2022,Health,South,Active,Individual,Agent,29,1,16817.01,170577.5,3,15927.39,5448.71,0,9,6,5,5,2,0,Winter,500000000
POL10106,01/02/2022,Travel,East,Active,Individual,Bancassurance,36,3,5673,536975.04,0,0,1451.72,0,6,8,2,7,3,0,Winter,500000000
POL10105,01/02/2022,Fire,West,Renewed,Individual,Bancassurance,16,1,32435.25,1635472.13,1,21303.47,7547.68,0,5,4,7,5,2,0,Winter,500000000
POL10104,01/02/2022,Motor,Central,Active,Individual,Agent,5,0,10731.6,119209.9,2,8730.16,3573.62,0,10,1,4,3,2,0,Winter,500000000
POL10103,01/02/2022,Property,South,Renewed,Individual,Online,6,0,27430.15,760095.99,1,20717.99,5088.29,0,3,8,4,3,9,0,Winter,500000000
POL10102,01/02/2022,Motor,East,Active,SME,Bancassurance,1,0,15606.43,143134.66,1,12560.05,4070.16,0,7,1,1,2,2,0,Winter,500000000
POL10101,01/02/2022,Fire,North,Active,SME,Bancassurance,28,2,31821.18,1528442.08,2,23719.51,8031.67,0,3,2,3,5,6,0,Winter,500000000
POL10100,01/02/2022,Property,East,Lapsed,Individual,Direct,72,3,26943,1029295.15,1,16591.5,6469.01,0,5,5,2,2,9,0,Winter,500000000
POL10099,01/02/2022,Health,North,Active,Individual,Agent,9,0,18120.3,351846.52,2,14885.83,5381.73,0,7,5,4,6,1,0,Winter,500000000
POL10098,01/02/2022,Health,Central,Active,Individual,Bancassurance,47,0,25272.74,475698.31,1,20627.61,5663.62,0,9,5,5,3,2,0,Winter,500000000
POL10097,01/02/2022,Motor,Central,Active,SME,Agent,32,2,13389.01,144301.1,0,0,4350.09,0,5,5,2,6,2,0,Winter,500000000
POL10096,01/02/2022,Motor,West,Active,Individual,Direct,54,3,13720.55,144518.16,1,10227.3,2567.11,0,5,1,3,1,3,0,Winter,500000000
POL10139,01/02/2022,Fire,West,Active,Individual,Agent,4,0,34144.97,1558648.97,2,25711.16,7822.61,0,3,1,2,3,9,0,Winter,500000000
POL10094,01/02/2022,Fire,Central,Active,Individual,Agent,1,0,24652.59,961391.19,1,17998.86,8098.38,0,8,4,4,5,8,0,Winter,500000000
POL10113,01/02/2022,Health,East,Active,Individual,Agent,8,0,17162.44,312730.53,1,17346.08,4958.23,0,10,3,5,6,3,0,Winter,500000000
POL10115,01/02/2022,Travel,North,Renewed,Individual,Direct,37,0,5917.42,430468.31,0,0,1104.78,0,3,3,3,3,2,0,Winter,500000000
POL10095,01/02/2022,Health,West,Active,Individual,Direct,13,0,16891.24,322736.97,1,15230.83,2878.27,0,6,7,3,7,2,0,Winter,500000000
POL10117,01/02/2022,Motor,North,Renewed,SME,Bancassurance,1,0,28865.09,361164,2,23986.89,8171.71,0,9,1,1,4,2,0,Winter,500000000
POL10116,01/02/2022,Motor,Central,Active,Individual,Agent,26,1,17101.92,253439.53,1,11294.11,5219.51,0,6,3,6,1,1,0,Winter,500000000
POL10137,01/02/2022,Motor,West,Active,Individual,Direct,16,0,8902.58,100480.56,0,0,1598.9,0,4,4,3,4,1,0,Winter,500000000
POL10135,01/02/2022,Motor,West,Active,Individual,Agent,5,0,19315.62,236560.76,1,14774.52,6084.42,0,7,3,4,5,1,0,Winter,500000000
POL10134,01/02/2022,Property,North,Active,SME,Agent,39,0,42362.09,1539652.12,1,31424.2,15207.99,0,6,3,4,5,8,0,Winter,500000000
POL10133,01/02/2022,Motor,Central,Active,Individual,Bancassurance,17,0,15893.82,168711.05,0,0,3472.8,0,9,3,4,6,3,0,Winter,500000000
POL10132,01/02/2022,Property,South,Active,SME,Online,16,0,34600.38,1106551.01,2,23895.02,7068.86,0,3,7,6,1,5,0,Winter,500000000
POL10131,01/02/2022,Marine,South,Renewed,Corporate,Agent,10,0,119791.7,4392146.24,0,0,31097.93,0,6,5,5,5,10,0,Winter,500000000
POL10130,01/02/2022,Health,Central,Lapsed,Individual,Agent,27,1,14380.7,151944.41,2,14110.34,4795.96,0,10,3,1,3,1,0,Winter,500000000
POL10129,01/02/2022,Travel,East,Renewed,SME,Direct,17,1,6035.72,584045.57,3,3136.76,1135.92,0,3,3,2,2,1,0,Winter,500000000
POL10128,01/02/2022,Health,Central,Renewed,Individual,Agent,3,0,18810.49,232304.55,4,17322.58,6670.2,0,7,4,5,4,2,0,Winter,500000000
POL10136,01/02/2022,Property,East,Active,Individual,Agent,45,2,33101.7,1103255.2,1,22201.31,8599.82,0,6,4,6,7,5,0,Winter,500000000
POL10126,01/02/2022,Property,West,Cancelled,SME,Agent,16,1,54924.34,1282287.04,3,40616.55,17548.33,0,2,7,1,2,8,0,Winter,500000000
